Sample,JobID,Key,PopID
SF1927,J5272,REP01,01-1
SF1928,J5272,REP02,01-2
SF1929,J5272,REP03,01-3
SF1930,J5272,REP04,01-4
SF1931,J5272,REP05,01-5
SF1932,J5272,CON01,01-6
SF1933,J5272,REP06,02-1
SF1934,J5272,REP07,02-2
SF1935,J5272,REP08,02-3
SF1936,J5272,REP09,02-4
SF1937,J5272,REP10,02-5
SF1938,J5272,CON02,02-6
SF1939,J5272,REP11,03-1
SF1940,J5272,REP12,03-2
SF1941,J5272,REP13,03-3
SF1942,J5272,REP14,03-4
SF1943,J5272,REP15,03-5
SF1944,J5272,CON03,03-6
SF1945,J5272,REP16,04-1
SF1946,J5272,REP17,04-2
SF1947,J5272,REP18,04-3
SF1948,J5272,REP19,04-4
SF1949,J5272,REP20,04-5
SF1950,J5272,CON04,04-6
SF1951,J5272,REP21,05-1
SF1952,J5272,REP22,05-2
SF1953,J5272,REP23,05-3
SF1954,J5272,REP24,05-4
SF1955,J5272,REP25,05-5
SF1956,J5272,CON05,05-6
SF1957,J5272,REP26,06-1
SF1958,J5272,REP27,06-2
SF1959,J5272,REP28,06-3
SF1960,J5272,REP29,06-4
SF1961,J5272,REP30,06-5
SF1962,J5272,CON06,06-6
SF1963,J5272,REP31,07-1
SF1964,J5272,REP32,07-2
SF1965,J5272,REP33,07-3
SF1966,J5272,REP34,07-4
SF1967,J5272,REP35,07-5
SF1968,J5272,CON07,07-6
SF1969,J5272,REP36,08-1
SF1970,J5272,REP37,08-2
SF1971,J5272,REP38,08-3
SF1972,J5272,REP39,08-4
SF1973,J5272,REP40,08-5
SF1974,J5272,CON08,08-6
SF1975,J5272,INIT1,INIT1
SF1976,J5272,INIT2,INIT2
